Time,80,40,20,sd 80,sd 40,sd 20
62,134839,64858,31293,11623.42127,6354.061536,3734.938018
62.5,135365,64685,31401,12921.66932,6170.213773,3599.173516
63,134537,64680.5,31195.5,12429.523,6530.131124,3506.542528
63.5,134122.5,64579,31317.5,12629.63422,6051.419833,3522.098877
64,135632,64474.5,31270.5,12760.44897,6210.518859,3976.061431
64.5,134239.5,64377,31100.5,11399.26842,6147.586356,3355.221677
65,135059,64633.5,31116,13169.15669,5653.318716,3548.261828
65.5,134403,64426,31099,12237.18996,5936.868535,3402.597831
66,133854.5,64345,30992,12659.3327,5816.660382,3563.818177
66.5,133689,64045,30956.5,11848.28123,6051.419833,3786.556813
67,133354.5,64020,30941,11238.04807,6413.458505,3452.095306
67.5,134186.5,63572,30954.5,12031.42188,5837.873585,3628.164894
68,134198.5,63467,30956.5,11964.95384,6113.64523,3718.674562
68.5,132713,63715.5,30930,11879.39392,5667.460851,3560.98975
69,132890.5,63618,30892,10929.74952,5627.155765,3688.268971
69.5,133214,63598,30823,12046.27112,6066.976183,3346.029289
70,132847.5,63375,30864.5,12287.39454,5696.452229,3688.976077
70.5,132814,63395,30743.5,12839.64493,5614.427843,3442.902918
71,131738,63234.5,30720.5,10353.45749,5219.155152,3454.216626
71.5,132942.5,63302,30744.5,12257.69605,5468.763846,3418.861287
72,132118.5,62909,30556,12314.26459,5610.185202,3549.676042
72.5,130504,62562,30503.5,11610.69335,5215.619618,3553.211575
73,131534,62578,30435.5,11609.27913,5979.294942,3352.39325
73.5,131498.5,62114.5,30325.5,10614.37989,5489.269942,3133.190147
74,131758,61951,30462,10623.57228,4778.627627,3265.419116
74.5,131695,61956,30520,11721.002,4842.267238,3532.705479
75,131587,61984,30388,11545.63952,5146.323153,3102.784556
75.5,132263,61912.5,30428,11020.96629,5288.451616,3172.08102
76,131277.5,61669.5,30317,10665.29158,5271.481054,3542.604974
76.5,131458.5,61691.5,30220,11795.24822,4847.216985,3166.424166
77,131451.5,61875.5,30301,10962.27643,4430.023984,3139.554108
77.5,131218.5,61336,30185.5,10085.46402,5085.51197,3305.724202
78,131171,61552,29928,10798.93476,5061.47034,3234.306417
78.5,129670.5,60928,30157.5,10364.06409,4640.034698,3284.510999
79,130863,61076.5,30172.5,11627.66391,4898.128673,3124.704866
79.5,131289,61528.5,30183,10424.16817,4267.389424,3254.105407
80,131236,61142.5,30047.5,10241.73462,4558.717418,3186.930263
80.5,130822,60913,30162.5,10332.24429,4863.480441,3441.488704
81,130517,61091,30077,9878.281733,4384.062043,3200.365292
81.5,130073.5,60641.5,30031.5,12358.10521,4400.325499,3227.942456
82,130156.5,60491,29854.5,12541.95298,4289.309735,3110.56273
82.5,130250.5,60688.5,29983,9890.302548,4534.675788,3333.301367
83,129321.5,60653,29829.5,10283.45392,4327.493501,3175.616554
83.5,128891.5,60471.5,29767.5,11496.84916,4222.13459,3160.060205
84,129633,60463.5,29807,11001.1673,4729.837259,3350.271929
84.5,129500,60396.5,29730.5,10793.27791,4432.852411,3250.569873
85,129481.5,60284,29819,9499.979605,4160.616301,3081.571352
85.5,129497,60338,29923,10387.39862,4682.461105,3435.124743
86,128918,60075.5,29725,11090.26276,4540.332642,2961.3632
86.5,128855,60015,29794,11351.89227,4279.41024,3080.157139
87,128382.5,60226.5,29552.5,8794.287038,4043.943682,3121.876439
87.5,128072.5,59793.5,29757,9815.34923,4134.45335,2926.007861
88,128591,59773,29707,11326.43642,4122.432534,3163.595739
88.5,128551.5,59708.5,29537,9338.759259,3838.882715,3445.024238
89,128753,59523,29768,10407.19761,3855.146171,3237.134844
89.5,128401.5,59321.5,29678,9845.047714,3851.610637,3362.999851
90,128012.5,59409,29582.5,10595.99512,4111.118826,3065.307896
90.5,127440.5,59696,29483.5,9744.638552,3908.886286,3218.042961
91,128031.5,59208,29494.5,10273.55442,4126.675175,3083.692673
91.5,127448,59372.5,29588,11011.0668,4318.301113,3066.015003
92,127596,59150.5,29642,10996.92466,3628.164894,2901.96623
92.5,128484.5,59170,29579,8577.912363,3938.584771,3020.760169
93,127712.5,58979,29461,9505.636459,4156.37366,3261.176475
93.5,128134.5,58927.5,29577,9027.632275,3157.231778,2846.811901
94,127684,58762.5,29328,9486.544576,3804.94159,2952.877918
94.5,127252,58572.5,29200,10852.67488,3772.414678,3136.725681
95,126927,58581.5,29356,9804.742628,3792.213668,2979.747976
95.5,127082.5,58330,29196.5,9903.030471,3597.759303,2836.205299
96,127579.5,58334.5,29197.5,8850.85558,3663.520233,3188.344476
96.5,126872,58389.5,29257.5,9794.843133,3670.591301,3020.053062
97,126345.5,58113.5,29350.5,9409.469937,3698.875572,3150.16071
97.5,126743.5,57955,29342.5,9669.685233,3437.95317,2949.342384
98,127138.5,58428.5,29163.5,9710.697426,3548.968935,2865.903784
98.5,126719.5,58134.5,29130.5,10427.7037,3250.569873,2909.744405
99,126969.5,57851,28986,7831.207602,3596.345089,3020.760169
99.5,126877.5,57665,29033,8802.772319,3190.465797,2842.56926
100,126494.5,58172,29186.5,7627.560849,3575.131886,3027.12413
100.5,126148,57800,29081,8852.9769,3365.828278,2822.77027
101,126345.5,57683.5,28932.5,8802.772319,3219.457175,3065.307896
101.5,126051,57854.5,29173.5,9370.579064,3126.11908,2899.84491
102,125044.5,57513,28815.5,9277.948076,2940.149996,2990.354578
102.5,126780,57969,29063.5,8225.066079,3181.980515,3090.763741
103,126652,57450,29013.5,8215.166584,3071.671857,3073.793178
103.5,125626.5,57494.5,29027,8833.885017,3268.954649,2815.699203
104,125137.5,56939.5,28880.5,8510.030112,3075.207391,2857.418503
104.5,125501.5,57568.5,28845,7811.408612,2611.345343,3039.144946
105,125153,57120,28876,8184.053885,3200.365292,3190.465797
105.5,125639.5,57395,28739.5,8409.620949,2744.988525,3056.822615
106,124500,57193,28721.5,9277.240969,2363.150863,2915.401259
106.5,125352,56756.5,28557,7342.596816,2280.419369,3210.264787
107,124591,57028.5,28725,7434.520697,3034.195198,2877.924599
107.5,125735,57183,28664,8804.893639,2210.415798,2928.836288
108,124876,56603.5,28691,9046.724159,2757.00934,2889.238308
108.5,124316,56739,28672,8742.668243,2771.858582,2995.304325
109,124188.5,56514.5,28479,8739.132709,3177.030768,2957.120559
109.5,124254,56517,28439.5,7448.662833,2493.25851,2867.317998
110,124264,56545.5,28550,6940.960164,2482.651909,2933.078928
110.5,124410,56544.5,28557.5,7261.986643,2130.512732,3039.852052
111,123910.5,56285.5,28637.5,8566.598654,2520.835675,2913.987045
111.5,123973,56229,28291,8797.822572,2588.010819,2959.948986
112,124391.5,56225.5,28342.5,8469.017918,3095.006381,2947.928171
112.5,123434,55984,28531.5,8383.457998,2013.840113,3012.981995
113,122550.5,56363.5,28358.5,7725.141584,2523.664102,3061.065256
113.5,123653.5,56308,28428.5,7384.316116,2363.150863,2892.773842
114,123905,56017.5,28467,8633.773798,2826.305804,2940.149996
114.5,123810,55672.5,28320.5,8472.553452,2300.218359,2790.950465
115,123263,55884,28550.5,7896.968532,2525.785422,2954.999239
115.5,123226.5,55533.5,28289.5,6476.391009,2206.880264,3123.290653
116,122703,55595,28413,8042.632529,2309.410747,3036.316518
116.5,122394,55756,28309.5,8343.860018,2218.901079,3027.12413
117,122890.5,55507.5,28358.5,8826.81395,2564.676295,3065.307896
117.5,122110,55347,28418.5,7508.059803,1773.423807,2956.413452
118,122593,55398.5,28272.5,7498.160308,2471.3382,2957.827666
118.5,122592.5,55206.5,28169,7008.135308,1945.250755,3013.689101
119,122610.5,55233.5,28268,7177.840936,1837.770524,3224.406922
119.5,122238.5,55407.5,28140,7907.575134,2124.855877,2967.020054
120,122527,55132.5,28037.5,6933.889096,2079.601043,2713.168719
120.5,122219,55246.5,28127,8712.969758,1728.87608,2886.409881
121,121356.5,54996,28129,7678.472537,2216.072652,2863.782464
121.5,121614.5,54740.5,27934.5,7856.663446,2105.056888,2950.756598
122,120930,54420,28089,7748.476108,2027.982248,2951.463705
122.5,121162.5,54678.5,28048.5,6897.82665,2177.181779,2781.05097
123,121966.5,54844.5,28173.5,7650.188266,2279.005156,3072.378964
123.5,121718,54850.5,27874,6923.989601,1550.685171,2869.439318
124,121242,54673.5,27996.5,7943.63758,1919.794911,3015.810422
124.5,120449,54446.5,27831.5,7694.735993,1929.694406,2764.080408
125,121601.5,54469,27899.5,6325.070158,1675.843071,3035.609412
125.5,120916,54560.5,27833,8346.688445,2213.951332,2829.841338
126,121977.5,54221,27812.5,8351.638193,2175.060459,2875.803279
126.5,120686.5,54493,27662,7597.862364,2052.023879,3044.8018
127,121091,54527.5,27820,6882.977408,1867.469009,2776.101223
127.5,121242,54308.5,27772,7215.317595,1709.07709,2924.593647
128,120693.5,54476,27817,6276.986897,1750.79639,3242.791699
128.5,120719.5,54504,27853,6944.495698,1711.19841,2643.165148
129,120316,54111.5,27704.5,7007.428202,1832.11367,3100.663236
129.5,121046.5,54181,27971.5,5779.183723,2207.587371,2833.376872
130,120053,54020.5,27729,5767.162907,1604.425287,2883.581454
130.5,119572.5,53941,27811,5718.372539,1678.671499,2880.753027
131,120297.5,53866.5,27887.5,7095.816549,1655.336975,3186.930263
131.5,119750,53849.5,27922,6704.786499,1380.979544,2910.451511
132,120733,53878.5,27643,6832.06572,1453.104435,2894.895162
132.5,120867.5,53767.5,27597.5,7712.413662,1771.302487,2810.749455
133,120361.5,53917,27619.5,7412.600387,1500.48059,2969.141374
133.5,119907.5,53354,27653,6798.831701,1781.909089,2900.552016
134,119949,53407.5,27552,6511.039241,1345.624205,2720.946894
134.5,119968,53349,27644.5,5876.057352,1648.973014,3045.508907
135,119704,53487.5,27417.5,5997.679718,1444.619154,2957.827666
135.5,120340,53186.5,27505.5,6894.291117,1369.665835,3114.805371
136,118764.5,53255.5,27481.5,6797.417488,1586.04051,2980.455083
136.5,118614,53094,27538.5,6649.63217,1237.436867,3092.177954
137,118683,53384,27358.5,5683.724307,1472.196318,2776.80833
137.5,118430,53046,27379,5924.140613,1651.801441,2879.338813
138,119360,53188.5,27406,6308.806702,1170.261723,2862.36825
138.5,119728.5,52752,27350.5,6890.755583,1487.752668,2909.744405
139,119387.5,52676,27372,7042.076434,1169.554616,2947.221064
139.5,118886,52711,27332.5,6185.770122,849.942351,2881.460133
140,117888.5,52675.5,27337.5,6095.967561,1393.707466,3086.5211
140.5,118543,52797,27308.5,6820.752011,1008.33427,2889.945415
141,119334.5,52782.5,27229,6582.457026,1339.96735,2614.880877
141.5,118703.5,52898,27329.5,5773.526868,1602.303966,3072.378964
142,118884,52418.5,27104,5226.933327,1004.798736,2862.36825
142.5,117943,52462.5,27350,5983.537582,1366.837408,2981.162189
143,118382,52290,27322,6202.740685,1551.392278,2920.351006
143.5,117861,52424.5,27143.5,6710.443353,1468.660785,2977.626656
144,117902,52360.5,27198.5,5549.374019,1339.96735,2933.786035
144.5,117199.5,51866.5,27145,5036.721602,1257.942964,2979.747976
145,118098,52127.5,26957.5,7366.638446,1651.094334,2697.61237
145.5,117779.5,52198,27028,6193.548296,848.5281374,2892.066735
146,117139.5,51977.5,27077.5,7206.125207,1218.344984,2966.312947
146.5,116885.5,52039,27034,6624.883433,1028.13326,3049.04444
147,117646.5,52039.5,27087.5,6060.612222,1290.469876,2854.590076
147.5,116900.5,52000.5,26898,4650.6413,1358.352127,2907.623084
148,116762,51717.5,26847.5,4990.759662,829.4362543,2704.683438
148.5,115873,51901,26752.5,5440.479574,1254.40743,2899.84491
149,117247.5,51580.5,26945.5,4414.467635,1436.133873,2994.597218
149.5,117078.5,51841.5,26990,5354.919654,1144.805879,2752.059592
