Time,Buffer,Buffer,Buffer,M24 80,M24 40,M24 20,M24 10,M24 5
114,2783,2490,2473,75058,49145,25172,12842,5455
114.5,2754,2442,2498,75112,49452,25124,12892,5406
115,2729,2485,2423,75106,49407,25201,12822,5381
115.5,2740,2554,2496,75075,49342,25363,12980,5443
116,2670,2530,2448,74615,49154,24902,12852,5454
116.5,2708,2500,2432,74694,49129,25160,12848,5380
117,2724,2543,2546,75068,49039,25053,12864,5451
117.5,2674,2536,2488,74570,48919,24990,13013,5484
118,2714,2467,2409,73984,48805,24921,12978,5407
118.5,2733,2395,2409,75024,49217,25137,12830,5448
119,2715,2442,2401,73942,49056,24770,12831,5405
119.5,2747,2396,2388,74200,49113,24973,12920,5402
120,2712,2623,2511,74406,48985,24792,12871,5505
120.5,2756,2454,2389,74358,48843,24607,12875,5371
121,2757,2555,2531,74256,49084,24765,12866,5391
121.5,2715,2531,2472,73812,48912,24698,12874,5302
122,2752,2407,2424,74529,48762,24971,12808,5332
122.5,2694,2468,2428,74345,48502,24875,12859,5399
123,2742,2514,2468,74194,48540,24887,12830,5316
123.5,2724,2454,2422,73316,48280,24750,12757,5382
124,2737,2550,2541,74292,48486,24850,12741,5355
124.5,2773,2656,2469,73980,48386,24873,12758,5405
125,2758,2551,2497,73368,48549,24927,12830,5394
125.5,2795,2568,2451,73650,48371,24611,12736,5323
126,2750,2476,2513,74071,48296,24600,12658,5406
126.5,2688,2558,2468,74050,48702,24968,12779,5333
127,2694,2527,2479,73979,48560,24852,12796,5359
127.5,2736,2500,2413,73310,48138,24859,12799,5410
128,2687,2452,2473,73616,48121,24954,12960,5368
128.5,2748,2420,2403,73028,48207,24719,12754,5316
129,2726,2413,2405,73116,47997,24821,12733,5336
129.5,2751,2474,2389,73392,48280,24916,12720,5297
130,2718,2508,2416,73305,48482,24878,12824,5336
130.5,2773,2571,2512,73393,47856,24470,12682,5286
131,2757,2490,2553,73170,48380,24588,12893,5275
131.5,2729,2482,2412,73364,48222,24856,12843,5360
132,2738,2500,2512,72429,48454,24552,12744,5380
132.5,2724,2484,2430,72434,48437,24558,12684,5273
133,2750,2443,2414,73174,48206,24446,12702,5311
133.5,2749,2490,2444,72368,48040,24290,12589,5354
134,2736,2488,2464,72765,48135,24482,12840,5344
134.5,2789,2512,2448,72953,47794,24601,12672,5328
135,2691,2535,2435,72370,47834,24540,12740,5363
135.5,2751,2530,2506,72054,47993,24315,12792,5341
136,2722,2460,2442,72770,47693,24364,12720,5320
136.5,2735,2460,2467,72702,47837,24566,12724,5446
137,2759,2520,2466,72694,48052,24240,12722,5297
137.5,2765,2382,2346,72536,47947,24603,12635,5316
138,2729,2516,2439,72206,47912,24387,12686,5357
138.5,2656,2430,2377,72739,48132,24423,12690,5329
139,2806,2449,2466,72089,47687,24243,12623,5287
139.5,2730,2482,2374,71647,47592,24508,12722,5340
140,2734,2500,2435,72021,47367,24190,12669,5300
140.5,2724,2498,2381,72246,47552,24434,12702,5346
141,2774,2496,2448,71578,47813,24449,12607,5293
141.5,2718,2515,2424,71624,47298,24398,12789,5294
142,2706,2521,2491,72086,47773,24520,12612,5274
142.5,2679,2440,2413,71549,47470,24454,12608,5353
143,2656,2514,2453,71702,47163,24273,12688,5256
143.5,2676,2439,2330,71847,47378,24694,12665,5328
144,2702,2448,2441,71168,47277,24417,12629,5291
144.5,2713,2453,2396,71907,47440,24078,12628,5320
145,2721,2415,2423,71326,47348,24111,12766,5278
